restaurant_name	address	city	postal_code	country	price_range	cuisine_type	description	facilities_services	credit_cards	phone_number	latitude	longitude	monday_hours	tuesday_hours	wednesday_hours	thursday_hours	friday_hours	saturday_hours	sunday_hours	url_micheline	url
O Me O Il Mare – Gragnano - a MICHELIN Guide Restaurant	Via Roma 45/47	Gragnano	80054	ITA	€€€€	Italian Contemporary, Modern Cuisine	After many years’ experience in Michelin-starred restaurants, Luigi Tramontano and his wife Nicoletta have opened their first restaurant in the chef’s native Gargnano. Previously a pasta factory, the building has been converted into an elegant, contemporary-style restaurant which has nonetheless retained its charming high ceilings. The cuisine is inspired by regional traditions which are reinterpreted to create gourmet dishes, all prepared with respect for the ingredients used and a strong focus on local produce.	Air conditioning, Interesting wine list, Wheelchair access	amex, dinersclub, mastercard, visa	+39 081 620 0550	40.6916293	14.5157334	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/campania/gragnano/restaurant/o-me-o-il-mare	http://omeoilmare.com
Alessandro Feo – Marina di Casal Velino - a MICHELIN Guide Restaurant	via Angelo Lista 24	Marina di Casal Velino	84040	ITA	€€	Campanian, Seafood	In a beautiful stone-vaulted building (an old 17C monastery) on the town’s seafront promenade, young owner-chef Alessandro Feo has made his mark in this region that perhaps has fewer gourmet restaurants than many places elsewhere. Here, he creates dishes that combine traditional influences and classic favourites from Campania with his own individual flair and creativity. His focus is on local, seasonal ingredients, including produce from his two kitchen gardens and fish sourced from local fishermen as well as from his own ventures out to sea.		amex, dinersclub, mastercard, visa	+39 328 893 7083	40.1769364	15.1212550	19:30-23:30	19:30-23:30	closed	19:30-23:30	19:30-23:30	19:30-23:30	12:30-14:30, 19:30-23:30	https://guide.michelin.com/en/campania/marina-di-casal-velino/restaurant/alessandro-feo	https://www.alessandrofeoristorante.it/
Dama – Cervesina - a MICHELIN Guide Restaurant	Via Mulino, località San Gaudenzio	Cervesina	27050	ITA	€€€	Modern Cuisine	Situated just a few kilometres from Voghera in the Bassa Lomellina area, this gourmet restaurant run by a young chef occupies the old stables of the Castello di San Gaudenzio. Alongside local specialities such as baked onion and 24-month-old Grana Padano cheese, the menu also features more creative dishes based around authentic recipes. The wine list includes some particularly interesting labels from the Oltrepò region.	Garden or park, Wheelchair access	amex, mastercard, visa	+39 0383 3331	45.0476388	9.0062926	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/lombardia/cervesina/restaurant/dama-1213583	https://www.hcsg.it/ristorante/
Il Ristorante Alain Ducasse Napoli – Naples - a MICHELIN Guide Restaurant	Via Cristoforo Colombo 45	Naples	80133	ITA	€€€€	Creative, Mediterranean Cuisine	Alain Ducasse, one of the great names in contemporary fine dining, has arrived in Naples, opening this restaurant in the former premises of the prestigious Ristorante Il Comandante. Situated on the 9th floor of the Romeo hotel overlooking the port, the restaurant boasts fine views of Vesuvius and the Bay of Naples, especially at sunset when the colours are truly spectacular. Meanwhile, the modern dining room, decorated completely in black, is equally as stunning as its surroundings. Alessandro Lucassino, who was born in 1991 and has years of experience working with his mentor, adds a personal flavour to local recipes: by using short cooking times, he preserves the nutritious qualities and flavours of local fish and vegetables while remaining faithful to Ducasse’s “cuisine de la naturalité” philosophy.	Air conditioning, Great view, Interesting wine list	amex, dinersclub, discover, maestrocard, mastercard, visa	+39 081 604 1580	40.8402770	14.2555922	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/campania/napoli/restaurant/il-ristorante-alain-ducasse-napoli	https://theromeocollection.com/en/romeo-napoli/restaurants-bars/il-ristorante-alain-ducasse/
Palazzo Utini – Noceto - a MICHELIN Guide Restaurant	via Antonio Gramsci 6	Noceto	43015	ITA	€€€€	Creative, Contemporary	This historic building in the town centre has been brought back to life by the family of local entrepreneurs who bought it years ago and who have given the restaurant their name. Now an exclusive food venue just a stone’s throw from the capital of the “Food Valley” region, Palazzo Utini is home to a bar and bistro on its ground floor, while the first floor is occupied by the gourmet restaurant overseen by chef Enrico Bartolini and run by resident chef Roberto Monopoli who has plenty of culinary experience behind him. Guests can choose individual dishes from the tasting menus à la carte style, plus there’s an extensive wine list. We particularly enjoyed the exquisite turbot saltimbocca and the onion, black cherry and Lambrusco dessert. On the upper floors, elegant and intimate guestrooms are decorated in the same reassuring style as the rest of the building.	Air conditioning, Interesting wine list, Wheelchair access	amex, dinersclub, mastercard, visa	+39 0521 152 1001	44.8087145	10.1788721	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/emilia-romagna/noceto_1827072/restaurant/palazzo-utini	https://palazzoutini.com
Soul & Fish – Sorrento - a MICHELIN Guide Restaurant	via Marina Grande	Sorrento	80067	ITA	€€€	Seafood	From the centre of Sorrento, you follow a succession of roads downhill to Marina Grande, the town’s old, picturesque fishing village that is well worth a visit. Here, facing the water, you’ll find Soul & Fish, a seemingly traditional seaside restaurant that actually serves superb fish and seafood on a menu that combines traditional dishes with more creative options.	Terrace	amex, mastercard, visa	+39 081 878 2170	40.6278681	14.3644213	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/campania/sorrento/restaurant/soul-fish	https://www.soulandfish.com/
Etra – Genoa - a MICHELIN Guide Restaurant	piazza De Ferrari 4	Genoa	16121	ITA	€€€	Creative, Italian Contemporary	Etra is an anagram of the Italian word “arte” – an apt name for this restaurant, which is housed in Palazzo Doria De Fornari on the beautiful and famous Piazza Ferrari. This palazzo is one of Genova’s magnificent “Rolli” palazzi (noble palaces once used to house famous visitors to the city). Despite the setting, the dining room is modern in style and adorned with elegant works of contemporary art. Here, chef Davide Cannavino consolidates his reputation with a concise menu of creative dishes: around a dozen meat and fish options inspired by the beauty that surrounds him and showcased on two tasting menus from which individual dishes can be chosen à la carte style.	Air conditioning	amex, dinersclub, mastercard, visa	+39 010 731 6733	44.4081985	8.9341693	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/liguria/genova/restaurant/etra	https://www.etra.art/
La Trattoria Enrico Bartolini – Castiglione della Pescaia - a MICHELIN Guide Restaurant	Località Badiola	Castiglione della Pescaia	58043	ITA	€€€€	Mediterranean Cuisine, Grills	After a majestic picture-postcard approach via a long avenue lined with cypress trees and maritime pines, passing vineyards and Maremma cattle along the way, you finally arrive at this restaurant which serves trattoria-style cuisine full of intense, familiar and reassuring flavours. The decor here is elegant with the occasional rustic touch, while the service is of the highest level yet pleasantly friendly and informal. Welcome to Bartolini’s Maremma restaurant! Here, resident chef Bruno De Moura Cossio offers a choice of dishes with one common denominator, namely charcoal grilling. All the dishes served here have been grilled in some way, so that they have a distinctive barbecued flavour. However, although the chef’s Brazilian origins are obvious in many different ways, the ingredients are resolutely local, some even from the restaurant’s own farm. The friendly service makes guests feel completely at home, while the excellent wine selection is an added attraction – those produced on the estate itself are highly recommended.	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace	amex, mastercard, visa	+39 0564 944322	42.7882300	10.9712200	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/toscana/castiglione-della-pescaia/restaurant/la-trattoria-enrico-bartolini	https://www.enricobartolini.net/ristorante-la-trattoria-castiglione
LoRo – Trescore Balneario - a MICHELIN Guide Restaurant	via Bruse 2	Trescore Balneario	24069	ITA	€€€	Creative	The cuisine served at LoRo is imaginative both in its presentation and its ingredients, which are combined in light, original and healthy (in the best sense of the word) dishes. The focus here is on fish and seafood, especially in the antipasti and primi courses, while all the dishes are listed with imaginative names on the menu. Chef Pierantonio Rocchetti reinterprets classic Italian favourites with flair and imagination, serving generous portions that do not skimp on flavour and taking guests on a delicious culinary journey that culminates in his excellent desserts. The restaurant’s “Sala Lab” is home to a large designer-style table that can be transformed to accommodate different numbers of guests, allowing the chef to prepare his dishes directly at the table in an ambience which is friendly and convivial while still maintaining an elegant feel.	Air conditioning, Car park	amex, maestrocard, mastercard, visa	+39 347 761 4728	45.6938611	9.8324198	closed	12:00-14:00, 19:15-22:00	12:00-14:00, 19:15-22:00	12:00-14:00, 19:15-22:00	12:00-14:00, 19:15-22:00	12:00-14:00, 19:15-22:00	12:00-14:00, 19:15-22:00	https://guide.michelin.com/en/lombardia/trescore-balneario/restaurant/loro	http://www.loroandco.com
20Tre – Genoa - a MICHELIN Guide Restaurant	via David Chiossone 20 r	Genoa	16123	ITA	€€	Farm to table, Modern Cuisine	Situated in the heart of Genoa’s historic centre, this contemporary-style restaurant focuses on just a few dishes, almost all fish-based, presented in a very modern style and in generous portions. Seasonal ingredients and market-fresh produce are the guiding philosophy here.	Air conditioning	amex, dinersclub, mastercard, visa	+39 010 247 6191	44.4087805	8.9331148	12:30-14:00, 20:00-22:00	12:30-14:00, 20:00-22:00	12:30-14:00, 20:00-22:00	12:30-14:00, 20:00-22:00	12:30-14:00, 20:00-22:00	20:00-22:00	closed	https://guide.michelin.com/en/liguria/genova/restaurant/20tre	https://www.ristorante20tregenova.it/
